name,company,country,price,ratings,score,type,rum_url,img_url,br_score
Neisson 12-Year,Neisson,Martinique,0,4,8.3,Agricole,/brands/5291-neisson-12-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5291/small_neisson-12-year.png,5.701188807
Neisson 21-Year,Neisson,Martinique,0,0,0,Aged,/brands/5114-neisson-21-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5114/small_Neisson_21-Year_rum_400px.png,4.77536295
Neisson 1997 18-Year,Neisson,Martinique,0,0,0,Aged,/brands/8795-neisson-1997-18-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
Neisson 1991,Neisson,Martinique,0,5,7.6,Aged,/brands/2129-neisson-1991,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2129/small_neisson-1991.png,5.645656118
Neisson 2005 12-Year,Neisson,Martinique,0,1,6,Aged,/brands/8690-neisson-2005-12-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.875512546
Neptune Gold 3-Year,Unknown,United Kingdom,0,7,6.6,Gold,/brands/6239-neptune-gold-3-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6239/small_neptune-gold-3-year.png,5.476065431
Neptunes 62,Neptunes,Germany,0,0,0,Overproof,/brands/4198-neptunes-62,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
Neptunes Gold,Neptunes,Germany,0,15,5.3,Agricole,/brands/6722-neptunes-gold,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6722/small_neptunes-gold-rhum.png,5.075406125
New Dawn 18-Year,Unknown,Dominican Republic,0,1,7,Aged,/brands/5446-new-dawn-18-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5446/small_new-dawn-18-year.png,4.957291548
New Dawn 2004 15-Year,Unknown,Dominican Republic,0,0,0,Aged,/brands/8739-new-dawn-2004-15-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8739/small_new-dawn-2004-15-year.png,4.77536295
New Deal Amber,Unknown,United States,0,0,0,Gold,/brands/9327-new-deal-amber,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
New Deal Distillerâ€™s Cut,Unknown,United States,0,0,0,Light,/brands/9328-new-deal-distiller-s-cut,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
Newfoundland Screech,Newfoundland,Canada,0,52,5.9,Gold,/brands/596-newfoundland-screech,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/596/small_Newfoundland_screech_rum.png,5.700286317
Newfoundland Screech Honey,Newfoundland,Canada,0,0,0,Flavored,/brands/10869-newfoundland-screech-honey,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
Newfoundland Screech Spiced,Newfoundland,Canada,0,0,0,Spiced,/brands/8871-newfoundland-screech-spiced,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8871/small_newfoundland-screech-spiced.png,4.77536295
Newfoundland Screech Spiced 100,Newfoundland,Canada,0,2,6.5,Spiced,/brands/4325-newfoundland-screech-spiced-100,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4325/small_newfoundland-screech-spiced-100.png,5.036116942
New Grove Bourbon Cask,New Grove,Mauritius,0,1,4,Aged,/brands/8698-new-grove-bourbon-cask,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8698/small_new-grove-bourbon-cask.png,4.711954542
New Grove Cafe,New Grove,Mauritius,0,5,7.8,Flavored,/brands/4207-new-grove-cafe,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4207/small_new-grove-cafe.png,5.70727771
New Grove Dark,New Grove,Mauritius,0,2,4.5,Dark,/brands/4080-new-grove-dark,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4080/small_New_Grove_Dark_rum_400px.png,4.733729849
New Grove Double Cask Acacia Finish,New Grove,Mauritius,0,3,6.7,Aged,/brands/5277-new-grove-double-cask-acacia-finish,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5277/small_new-grove-double-cask-acacia-finish.png,5.181173997
